u,x1,x2
1.0,0.18120572526181564 -0.009330343573837899 64.96321488860812,0.1756502289188975 -0.11626819359870616 85.01781120292117
1.0,0.1756502289188975 -0.11626819359870616 85.01781120292117,0.16419025230260353 -0.22419348294719227 104.2908351677633
1.0,0.16419025230260353 -0.22419348294719227 104.2908351677633,0.1485091315398719 -0.3157259060324183 122.31704882325351
1.0,0.1485091315398719 -0.3157259060324183 122.31704882325351,0.12748950373295154 -0.41484285888549827 139.25048977709378
1.0,0.12748950373295154 -0.41484285888549827 139.25048977709378,0.10217477745470331 -0.5063249686612092 155.3874086187821
1.0,0.10217477745470331 -0.5063249686612092 155.3874086187821,0.0720320210805361 -0.6020656052156897 170.62846620154616
1.0,0.0720320210805361 -0.6020656052156897 170.62846620154616,0.03715357809308216 -0.6999019590609619 184.58345650108546
0.7528873473657466,0.03715357809308216 -0.6999019590609619 184.58345650108546,-0.0021977721985639237 -0.7702342024303829 195.30841017247346
0.26843264888573826,-0.0021977721985639237 -0.7702342024303829 195.30841017247346,-0.0424525426563137 -0.7700128648461362 196.21440712655206
-0.22491282066365903,-0.0424525426563137 -0.7700128648461362 196.21440712655206,-0.07618434383540282 -0.6529161647342296 185.89012425301578
-0.6421472990347217,-0.07618434383540282 -0.6529161647342296 185.89012425301578,-0.09918475179168545 -0.44448224404684045 164.29402005117342
-0.8066615885164707,-0.09918475179168545 -0.44448224404684045 164.29402005117342,-0.10837363093077128 -0.18714157111045174 137.1931987491594
